user_id,recomendations
239,"[874972, 1072693, 1021116, 976864, 910439]"
240,"[12731432, 5569230, 888543, 5567148, 1131344]"
241,"[874972, 1029743, 1082185, 1106523, 1127831]"
242,"[874972, 895295, 965766, 862732, 978343]"
243,"[1075007, 1110142, 853172, 1126899, 932179]"
244,"[874972, 849843, 1133018, 851468, 834117]"
245,"[874972, 1029743, 1082185, 1106523, 1127831]"
246,"[874972, 1051468, 822524, 1070820, 888532]"
247,"[874972, 1070845, 1098844, 1023958, 1133018]"
248,"[874972, 1029743, 1082185, 1106523, 1127831]"
249,"[874972, 15926886, 1029743, 1029743, 1082185]"
250,"[874972, 1068855, 965766, 844165, 910473]"
251,"[848029, 936914, 960791, 1075368, 1070820]"
252,"[874972, 1029743, 1082185, 1106523, 1127831]"
253,"[874972, 1107553, 1072523, 1127758, 922561]"
254,"[874972, 982493, 1029743, 1082185, 1106523]"
255,"[874972, 1082185, 1106523, 1127831, 951590]"
256,"[874972, 935393, 929730, 1075368, 1082212]"
257,"[874972, 883404, 993638, 1029743, 1082185]"
258,"[874972, 6979518, 1048257, 995242, 1000050]"
259,"[874972, 1082185, 1011578, 1039156, 940947]"
260,"[874972, 909714, 834117, 1045586, 15717057]"
261,"[874972, 1029743, 1082185, 1127831, 951590]"
262,"[874972, 922561, 1043751, 1040807, 859075]"
263,"[1002787, 901460, 9526673, 1109778, 994223]"
264,"[874972, 1104695, 961554, 1018740, 844054]"
265,"[874972, 1029743, 1082185, 1106523, 1127831]"
266,"[1082627, 1070820, 919423, 972191, 5569471]"
267,"[874972, 1029743, 1082185, 1106523, 1127831]"
268,"[874972, 837107, 1029743, 1082185, 1106523]"
269,"[874972, 895930, 1031831, 962229, 1139782]"
270,"[1103808, 984715, 1014238, 1053690, 1101010]"
271,"[1029688, 856252, 8090521, 1058997, 863885]"
272,"[874972, 1029743, 1082185, 1127831, 951590]"
273,"[874972, 873964, 13115501, 6979579, 12188582]"
274,"[874972, 1084177, 841228, 1029743, 1082185]"
275,"[874972, 936508, 6463451, 961269, 918638]"
276,"[12810391, 995896, 12731544, 1052912, 1042942]"
277,"[874972, 1106523, 1127831, 1082185, 951590]"
278,"[874972, 962229, 8090537, 9420312, 995242]"
279,"[874972, 1106523, 951590, 1082185, 1127831]"
280,"[874972, 1106523, 1029743, 1082185, 1106523]"
281,"[874972, 862349, 1055504, 934399, 5585510]"
282,"[874972, 5572828, 985999, 919535, 957736]"
283,"[878715, 6034577, 862682, 865705, 856252]"
284,"[874972, 996156, 12301405, 1101173, 1029743]"
285,"[874972, 839094, 1075827, 1047619, 873056]"
286,"[10198378, 1119051, 1029743, 1082185, 1106523]"
287,"[874972, 1047769, 1110042, 969866, 846823]"
288,"[874972, 1126899, 865705, 1005456, 821083]"
289,"[874972, 989824, 1135044, 12384177, 9655528]"
290,"[874972, 867188, 873964, 962229, 952317]"
291,"[874972, 6704207, 6534480, 949965, 859426]"
292,"[874972, 981760, 883404, 1053690, 1106523]"
293,"[874972, 1082185, 1106523, 1127831, 951590]"
294,"[874972, 827999, 5568197, 9245108, 921836]"
295,"[874972, 1029743, 1082185, 1127831, 951590]"
296,"[874972, 1029743, 1082185, 1127831, 951590]"
297,"[874972, 1004950, 819765, 6704207, 1110572]"
298,"[874972, 1029743, 1082185, 1127831, 951590]"
299,"[874972, 1029743, 1082185, 1127831, 951590]"
300,"[874972, 1029743, 1082185, 1106523, 1127831]"
301,"[874972, 9571047, 844165, 1094924, 9677236]"
302,"[874972, 1005274, 1062128, 887342, 1101174]"
303,"[874972, 950206, 1007414, 1102416, 5569230]"
304,"[874972, 1086740, 1021519, 1107553, 873627]"
305,"[874972, 9858847, 913210, 1011876, 1029743]"
306,"[874972, 5591154, 868423, 862349, 1101010]"
307,"[874972, 1036139, 889731, 1074040, 1039156]"
308,"[874972, 950206, 1064380, 1110572, 947658]"
309,"[874972, 1029743, 1127831, 1082185, 951590]"
310,"[874972, 1029743, 1082185, 1127831, 951590]"
311,"[874972, 882826, 823862, 1110572, 1029743]"
312,"[874972, 6551782, 906262, 901776, 936830]"
313,"[874972, 1029743, 1082185, 1127831, 951590]"
314,"[833940, 978974, 1133018, 825176, 995965]"
315,"[874972, 1029743, 1082185, 1127831, 951590]"
316,"[836445, 1102927, 1106301, 1122358, 1131344]"
317,"[874972, 1107553, 1101010, 12171656, 983584]"
318,"[874972, 977481, 1106301, 5568729, 918335]"
319,"[874972, 1127831, 995242, 1082185, 951590]"
320,"[874972, 1082185, 1106523, 1127831, 951590]"
321,"[874972, 990897, 5568729, 944836, 964520]"
322,"[874972, 1044078, 12984227, 901062, 941734]"
323,"[826666, 902856, 1122358, 921836, 1039627]"
324,"[9521679, 999625, 993466, 1026258, 920002]"
325,"[12810464, 901460, 896085, 1011300, 5569471]"
326,"[874972, 879504, 1040807, 8090521, 1101010]"
327,"[874972, 1133018, 884774, 883963, 15926844]"
328,"[874972, 950894, 977658, 1070820, 885290]"
329,"[948670, 888532, 919180, 819927, 934369]"
330,"[874972, 9420312, 1053690, 1106523, 1068292]"
331,"[874972, 862349, 1082185, 1029743, 1082185]"
332,"[874972, 1070803, 5565925, 1011300, 867469]"
333,"[874972, 899624, 1029743, 1082185, 1106523]"
334,"[874972, 6034577, 860975, 1056509, 933060]"
335,"[874972, 1029743, 1127831, 1082185, 951590]"
336,"[874972, 1029743, 951590, 1082185, 1127831]"
337,"[874972, 1082185, 1106523, 1127831, 951590]"
338,"[874972, 1039156, 895268, 1028816, 1053690]"
339,"[874972, 1044188, 840361, 1106523, 1051211]"
340,"[874972, 1082185, 1106523, 1127831, 951590]"
341,"[874972, 1029743, 1082185, 1127831, 951590]"
342,"[1000753, 870515, 847982, 854852, 1029743]"
343,"[874972, 865705, 1040807, 909714, 1018740]"
344,"[874972, 1029743, 5569230, 1082185, 1127831]"
345,"[874972, 999639, 1071759, 6602697, 837107]"
346,"[825343, 911470, 865528, 1101010, 819978]"
347,"[874972, 1024306, 930118, 1029743, 1082185]"
348,"[947858, 1031083, 985893, 1015296, 1014238]"
349,"[874972, 889649, 995242, 963365, 900802]"
350,"[874972, 1106523, 1044078, 1029743, 1082185]"
351,"[1000753, 13115914, 6602697, 894439, 1057260]"
352,"[874972, 1029743, 1082185, 1127831, 951590]"
353,"[874972, 948086, 1029743, 1082185, 1106523]"
354,"[849202, 1058997, 884686, 1097001, 1008814]"
355,"[874972, 1029743, 1082185, 1127831, 951590]"
356,"[874972, 1049735, 1084968, 1029743, 1082185]"
357,"[833940, 909894, 906763, 10344586, 1133018]"
358,"[981677, 5570408, 997907, 5569230, 862010]"
359,"[874972, 1029743, 1082185, 1127831, 951590]"
360,"[874972, 1110572, 1037894, 6979518, 1029743]"
361,"[970866, 893501, 1002771, 962229, 1101010]"
362,"[874972, 983795, 1072693, 12731714, 826816]"
363,"[874972, 1029743, 1082185, 1127831, 951590]"
364,"[874972, 962229, 860975, 1106301, 1132911]"
365,"[874972, 924427, 832678, 5572828, 986912]"
366,"[874972, 858302, 1065593, 1128240, 957741]"
367,"[9524291, 993466, 837865, 1031864, 823775]"
368,"[874972, 1029743, 1082185, 1127831, 951590]"
369,"[874972, 8090509, 986912, 1016276, 1106523]"
370,"[874972, 1029743, 1082185, 1127831, 951590]"
371,"[874972, 1037332, 1070820, 928123, 919423]"
372,"[874972, 1106523, 1127831, 1082185, 951590]"
373,"[874972, 986912, 999779, 9926758, 883404]"
374,"[1108094, 1009046, 7409670, 1029743, 923746]"
375,"[874972, 885023, 1058021, 1029743, 1082185]"
376,"[874972, 1081189, 1095068, 849843, 1112766]"
377,"[874972, 959985, 994223, 1138443, 1029743]"
378,"[874972, 910673, 10150194, 9859060, 1009046]"
379,"[874972, 1029743, 1082185, 1127831, 951590]"
380,"[1013928, 906017, 1126870, 1098284, 8090521]"
381,"[874972, 819927, 9858794, 1082141, 15926887]"
382,"[874972, 926905, 1043787, 7168026, 1106523]"
383,"[874972, 829722, 854754, 1058997, 890695]"
384,"[825343, 10344971, 13008459, 1075368, 13416351]"
385,"[874972, 1010190, 1131321, 914577, 921504]"
386,"[874972, 893501, 1041512, 1108131, 870547]"
387,"[878715, 916990, 999104, 8090536, 1126899]"
388,"[874972, 1076608, 1031083, 853643, 13416351]"
389,"[887474, 947798, 849003, 13115981, 856252]"
390,"[874972, 927860, 999714, 1029743, 1082185]"
391,"[874972, 1106523, 951590, 1082185, 1127831]"
392,"[874972, 825176, 9487606, 1028473, 12263788]"
393,"[1013928, 896085, 1070272, 1108168, 1029743]"
394,"[9521679, 13842090, 921836, 885290, 986912]"
395,"[874972, 1098066, 1053690, 926233, 5568378]"
396,"[874972, 993441, 1082185, 1135460, 834103]"
397,"[874972, 951176, 978343, 1058997, 892573]"
398,"[874972, 5569230, 916381, 1102879, 995242]"
399,"[874972, 1029743, 1127831, 1082185, 951590]"
400,"[874972, 6979545, 1128206, 5567702, 883404]"
401,"[874972, 5574409, 1068957, 986912, 827683]"
402,"[970747, 1051468, 821083, 13842214, 1021519]"
403,"[874972, 1029743, 1127831, 1082185, 951590]"
404,"[874972, 5569471, 862682, 1092588, 835279]"
405,"[874972, 1126808, 906883, 962229, 13842088]"
406,"[874972, 862349, 934399, 1116821, 1082185]"
407,"[9835223, 995242, 908531, 883404, 826249]"
408,"[874972, 1106523, 951590, 1082185, 1127831]"
409,"[874972, 862349, 909750, 8090536, 1101010]"
410,"[874972, 911812, 948384, 962229, 13002975]"
411,"[874972, 1029743, 1082185, 1106523, 1127831]"
412,"[874972, 6463717, 849843, 986912, 860975]"
413,"[874972, 5585510, 1005935, 5569230, 1106523]"
414,"[874972, 1093413, 1102927, 1082212, 971922]"
415,"[874972, 999104, 1056509, 960791, 1133018]"
416,"[874972, 1106523, 951590, 1082185, 1127831]"
417,"[874972, 829722, 1081189, 5578547, 1016129]"
418,"[874972, 1020962, 1119405, 9677236, 12263788]"
419,"[874972, 1106523, 951590, 1082185, 1127831]"
420,"[874972, 961747, 1029743, 1029743, 1082185]"
421,"[874972, 9338009, 6533936, 1139782, 1092588]"
422,"[874972, 1127831, 995242, 1082185, 951590]"
423,"[874972, 1029743, 1127831, 1082185, 951590]"
424,"[874972, 1029743, 1082185, 1127831, 951590]"
425,"[866548, 1092303, 842707, 1070820, 969419]"
426,"[874972, 1110409, 881047, 1057260, 899682]"
427,"[874972, 840361, 1110255, 1029743, 1082185]"
428,"[874972, 951590, 995242, 1082185, 1127831]"
429,"[874972, 835278, 5585510, 1056509, 995242]"
430,"[874972, 1075368, 995242, 1042571, 5569230]"
431,"[874972, 1029743, 1082185, 1127831, 951590]"
432,"[874972, 1002771, 907128, 975649, 858373]"
433,"[995151, 1013531, 963971, 1106523, 1082185]"
434,"[874972, 10121965, 1039781, 1081189, 1048462]"
435,"[874972, 5569845, 843450, 1135681, 899624]"
436,"[874972, 981760, 5569230, 1029743, 1082185]"
437,"[948670, 1039156, 1029743, 1082185, 1106523]"
438,"[874972, 1019247, 6534480, 5564931, 1003188]"
439,"[874972, 1029743, 1082185, 1127831, 951590]"
440,"[874972, 1029743, 1082185, 1127831, 951590]"
441,"[874972, 1009046, 1038985, 12810393, 1124971]"
442,"[874972, 911311, 909894, 1126899, 1085604]"
443,"[874972, 944823, 7463287, 1057260, 9396705]"
444,"[874972, 1029743, 1082185, 1127831, 951590]"
445,"[874972, 1029743, 1082185, 1127831, 951590]"
446,"[874972, 1029743, 1082185, 1106523, 1127831]"
447,"[874972, 986912, 1048507, 1057260, 995242]"
448,"[874972, 1029743, 1127831, 1082185, 951590]"
449,"[970866, 1053690, 819927, 971922, 934948]"
450,"[12810391, 1101010, 1044078, 13842214, 995242]"
451,"[874972, 963868, 999971, 1004906, 916122]"
452,"[874972, 1106523, 1127831, 1082185, 951590]"
453,"[874972, 1029743, 951590, 1082185, 1127831]"
454,"[9835223, 1016800, 1102927, 881047, 912112]"
455,"[874972, 1082185, 1106523, 1127831, 951590]"
456,"[874972, 1029743, 1082185, 1127831, 951590]"
457,"[874972, 844165, 1095040, 911311, 1029743]"
458,"[874972, 5587938, 961554, 1058997, 1023958]"
459,"[863762, 1075313, 885290, 972312, 1029743]"
460,"[874972, 981760, 826385, 1029743, 1082185]"
461,"[874972, 909714, 979566, 995242, 1050851]"
462,"[874972, 1043751, 854042, 824180, 995242]"
463,"[948670, 933067, 1046689, 835243, 12810393]"
464,"[874972, 9677236, 1072693, 856252, 952972]"
465,"[874972, 1106523, 1127831, 1082185, 951590]"
466,"[874972, 832001, 10341697, 859191, 1029743]"
467,"[874972, 1135886, 1110692, 834117, 7167945]"
468,"[874972, 1134292, 9803810, 1098284, 1122358]"
469,"[874972, 885356, 1137775, 819978, 862349]"
470,"[874972, 1030093, 9420312, 990256, 933060]"
471,"[874972, 852360, 982799, 8090521, 883202]"
472,"[874972, 1082185, 1106523, 1127831, 951590]"
473,"[874972, 1106523, 951590, 1082185, 1127831]"
474,"[874972, 1030093, 1065593, 1029743, 1082185]"
475,"[874972, 1106523, 916122, 1082185, 1127831]"
476,"[874972, 1029743, 1082185, 1127831, 951590]"
477,"[948670, 879755, 13115579, 1029743, 869573]"
478,"[874972, 8090440, 1029743, 1082185, 1106523]"
479,"[874972, 1029743, 1082185, 1106523, 1127831]"
480,"[874972, 1009449, 1029743, 1082185, 1106523]"
481,"[874972, 1029743, 5569230, 1082185, 1127831]"
482,"[836445, 8090537, 1101010, 1138443, 999581]"
483,"[874972, 879755, 1077588, 1029743, 1082185]"
484,"[833940, 819330, 995242, 1044759, 888532]"
485,"[12810391, 893501, 1012587, 6533608, 1067779]"
486,"[874972, 1029743, 1082185, 1127831, 951590]"
487,"[874972, 906763, 7169034, 1029743, 1082185]"
488,"[874972, 1029743, 1127831, 1082185, 951590]"
489,"[874972, 845715, 13115501, 1019247, 986912]"
490,"[874972, 1029743, 1127831, 1082185, 951590]"
491,"[874972, 1051468, 994223, 9858847, 1100972]"
492,"[874972, 1029743, 1127831, 1082185, 951590]"
493,"[874972, 1003188, 1017363, 819927, 948086]"
494,"[874972, 1029743, 1082185, 1127831, 951590]"
495,"[12810391, 940731, 930283, 995965, 1133018]"
496,"[874972, 1029743, 1082185, 1127831, 951590]"
497,"[874972, 911088, 7410290, 942778, 837304]"
498,"[874972, 1029743, 1082185, 1127831, 951590]"
499,"[874972, 1029743, 1082185, 1127831, 951590]"
500,"[874972, 1029743, 1082185, 1127831, 951590]"
501,"[874972, 1029743, 1082185, 1127831, 951590]"
502,"[874972, 910473, 12427353, 1131344, 1029743]"
503,"[874972, 1060408, 1003188, 8090536, 1073150]"
504,"[874972, 1029743, 1082185, 1127831, 951590]"
505,"[874972, 1127716, 1029743, 1082185, 1106523]"
